dmy float,dmy,irtemp c,min c,max c
1835.532786885246,1835-07-14,,,
1835.535519125683,1835-07-15,,,
1835.5382513661202,1835-07-16,,,
1835.5409836065573,1835-07-17,,,
1835.5437158469945,1835-07-18,,,
1835.5464480874316,1835-07-19,,,
1835.549180327869,1835-07-20,,,
1835.551912568306,1835-07-21,,,
1835.5546448087432,1835-07-22,,,
1835.5573770491803,1835-07-23,,,
1835.5601092896175,1835-07-24,,,
1835.5628415300546,1835-07-25,,,
1835.5655737704917,1835-07-26,,,
1835.568306010929,1835-07-27,,,
1835.5710382513662,1835-07-28,,,
1835.5737704918033,1835-07-29,,,
1835.5765027322404,1835-07-30,,,
1835.5792349726776,1835-07-31,,,
1835.0218579234972,1835-01-08,,,
1835.1065573770493,1835-02-08,,,
1835.1830601092897,1835-03-08,,,
1835.2677595628415,1835-04-08,,,
1835.3497267759562,1835-05-08,,,
1835.4344262295083,1835-06-08,,,
1835.516393442623,1835-07-08,,,
1835.6010928961748,1835-08-08,,,
1835.6857923497269,1835-09-08,,,
1835.7677595628415,1835-10-08,,,
1835.8524590163934,1835-11-08,,,
1835.9344262295083,1835-12-08,,,
1835.6147540983607,1835-08-13,,,
1835.6174863387978,1835-08-14,,,
1835.620218579235,1835-08-15,,,
1835.622950819672,1835-08-16,,,
1835.6256830601094,1835-08-17,,,
1835.6284153005465,1835-08-18,,,
1835.6311475409836,1835-08-19,,,
1835.6338797814208,1835-08-20,,,
1835.636612021858,1835-08-21,,,
1835.639344262295,1835-08-22,,,
1835.6420765027322,1835-08-23,,,
1835.6448087431695,1835-08-24,,,
1835.6475409836066,1835-08-25,,,
1835.6502732240438,1835-08-26,,,
1835.6530054644809,1835-08-27,,,
1835.655737704918,1835-08-28,,,
1835.6584699453551,1835-08-29,,,
1835.6612021857923,1835-08-30,,,
1835.6639344262296,1835-08-31,,,
1835.0245901639344,1835-01-09,,,
1835.1092896174864,1835-02-09,,,
1835.1857923497269,1835-03-09,,,
1835.2704918032787,1835-04-09,,,
1835.3524590163934,1835-05-09,,,
1835.4371584699454,1835-06-09,,,
1835.51912568306,1835-07-09,,,
1835.603825136612,1835-08-09,,,
1835.688524590164,1835-09-09,,,
1835.7704918032787,1835-10-09,,,
1835.8551912568305,1835-11-09,,,
1835.9371584699454,1835-12-09,,,
1835.6994535519125,1835-09-13,,,
1835.7021857923498,1835-09-14,,,
1835.704918032787,1835-09-15,,,
1835.707650273224,1835-09-16,,,
1835.7103825136612,1835-09-17,,,
1835.7131147540983,1835-09-18,,,
1835.7158469945355,1835-09-19,,,
1835.7185792349726,1835-09-20,,,
1835.72131147541,1835-09-21,,,
1835.724043715847,1835-09-22,,,
1835.7267759562842,1835-09-23,,,
1835.7295081967213,1835-09-24,,,
1835.7322404371585,1835-09-25,,,
1835.7349726775956,1835-09-26,,,
1835.7377049180327,1835-09-27,,,
1835.74043715847,1835-09-28,,,
1835.7431693989072,1835-09-29,,,
1835.7459016393443,1835-09-30,,,
1835.0273224043715,1835-01-10,,,
1835.1120218579235,1835-02-10,,,
1835.188524590164,1835-03-10,,,
1835.2732240437158,1835-04-10,,,
1835.3551912568305,1835-05-10,,,
1835.4398907103825,1835-06-10,,,
1835.5218579234972,1835-07-10,,,
1835.6065573770493,1835-08-10,,,
1835.691256830601,1835-09-10,,,
1835.7732240437158,1835-10-10,,,
1835.8579234972678,1835-11-10,,,
1835.9398907103825,1835-12-10,,,
1835.7814207650274,1835-10-13,,,
1835.7841530054645,1835-10-14,,,
1835.7868852459017,1835-10-15,,,
1835.7896174863388,1835-10-16,,,
1835.792349726776,1835-10-17,,,
1835.795081967213,1835-10-18,,,
1835.7978142076502,1835-10-19,,,
1835.8005464480875,1835-10-20,,,
1835.8032786885246,1835-10-21,,,
1835.8060109289618,1835-10-22,,,
1835.808743169399,1835-10-23,,,
1835.811475409836,1835-10-24,,,
1835.8142076502731,1835-10-25,,,
1835.8169398907103,1835-10-26,,,
1835.8196721311476,1835-10-27,,,
1835.8224043715848,1835-10-28,,,
1835.8251366120219,1835-10-29,,,
1835.827868852459,1835-10-30,,,
1835.8306010928961,1835-10-31,,,
1835.0300546448088,1835-01-11,,,
1835.1147540983607,1835-02-11,,,
1835.191256830601,1835-03-11,,,
1835.275956284153,1835-04-11,,,
1835.3579234972678,1835-05-11,,,
1835.4426229508197,1835-06-11,,,
1835.5245901639344,1835-07-11,,,
1835.6092896174864,1835-08-11,,,
1835.6939890710382,1835-09-11,,,
1835.775956284153,1835-10-11,,,
1835.860655737705,1835-11-11,,,
1835.9426229508197,1835-12-11,,,
1835.8661202185792,1835-11-13,,,
1835.8688524590164,1835-11-14,,,
1835.8715846994535,1835-11-15,,,
1835.8743169398906,1835-11-16,,,
1835.877049180328,1835-11-17,,,
1835.879781420765,1835-11-18,,,
1835.8825136612022,1835-11-19,,,
1835.8852459016393,1835-11-20,,,
1835.8879781420765,1835-11-21,,,
